"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "NS.2108.003.UDP0201_i7...UDP0201_i5.RNA_0006_5598_Tumeur_R1" "NS.2108.003.UDP0202_i7...UDP0202_i5.RNA_0009_5268_Sain_R1" "NS.2108.003.UDP0203_i7...UDP0203_i5.RNA_0010_5268_Tumeur_R1" "NS.2108.003.UDP0204_i7...UDP0204_i5.RNA_0011_5402_Sain_R1" "NS.2108.003.UDP0205_i7...UDP0205_i5.RNA_0012_5402_Tumeur_R1" "NS.2108.003.UDP0206_i7...UDP0206_i5.RNA_0017_5487_Sain_R1" "NS.2108.003.UDP0207_i7...UDP0207_i5.RNA_0018_5487_Tumeur_R1"
"WASH7P" 0 1 0 0 0 0 0 1
"MIR6859-1" 0 1 0 0 0 0 0 1
"" 0 0 0 0 0 0 0 0
"CICP27" 0 1 0 0 0 0 0 1
"DDX11L17" 0 1 0 0 0 0 0 1
"WASH9P" 0 1 0 0 0 0 0 1
"MTND1P23" 0 1 0 0 0 0 0 1
"MTND2P28" 0 1 0 0 0 0 0 1
"MTCO1P12" 0 1 0 0 0 0 0 1
"MTCO2P12" 0 1 0 0 0 0 0 1
"MTATP6P1" 0 1 0 0 0 0 0 1
"MTCO3P12" 0 1 0 0 0 0 0 1
"CICP3" 0 1 0 0 0 0 0 0
"LINC01409" 0 1 0 0 0 0 0 0
"FAM87B" 0 1 0 0 0 0 0 0
"LINC00115" 0 1 0 0 0 0 0 0
"LINC01128" 0 1 0 0 0 0 0 0
"FAM41C" 0 1 0 0 0 0 0 0
"TUBB8P11" 0 1 0 0 0 0 0 0
"LINC02593" 0 1 0 0 0 0 0 0
"SAMD11" 0 1 0 0 0 0 0 0
"NOC2L" 0 1 0 0 0 0 0 0
"KLHL17" 0 1 0 0 0 0 0 0
"PLEKHN1" 0 1 0 0 0 0 0 0
"PERM1" 0 1 0 0 0 0 0 0
"HES4" 0 1 0 0 0 0 0 0
"ISG15" 0 1 0 0 0 0 0 0
"AGRN" 0 1 0 0 0 0 0 0
"RNF223" 0 1 0 0 0 0 0 0
"C1orf159" 0 1 0 0 0 0 0 0
"LINC01342" 0 1 0 0 0 0 0 0
"MIR200B" 0 1 0 0 0 0 0 0
"MIR200A" 0 1 0 0 0 0 0 0
"MIR429" 0 1 0 0 0 0 0 0
"TTLL10-AS1" 0 1 0 0 0 0 0 0
"TTLL10" 0 1 0 0 0 0 0 0
"TNFRSF18" 0 1 0 0 0 0 0 0
"TNFRSF4" 0 1 0 0 0 0 0 0
"SDF4" 0 1 0 0 0 0 0 0
"B3GALT6" 0 1 0 0 0 0 0 0
"C1QTNF12" 0 1 0 0 0 0 0 0
"UBE2J2" 0 1 0 0 0 0 0 0
"LINC01786" 0 1 0 0 0 0 0 0
"SCNN1D" 0 1 0 0 0 0 0 0
"ACAP3" 0 1 0 0 0 0 0 0
"PUSL1" 0 1 0 0 0 0 0 0
"INTS11" 0 1 0 0 0 0 0 0
"CPTP" 0 1 0 0 0 0 0 0
"TAS1R3" 0 1 0 0 0 0 0 0
"DVL1" 0 1 0 0 0 0 0 0
"MXRA8" 0 1 0 0 0 0 0 0
"AURKAIP1" 0 1 0 0 0 0 0 0
"NDUFB4P8" 0 1 0 0 0 0 0 0
"CCNL2" 0 1 0 0 0 0 0 0
"MRPL20-AS1" 0 1 0 0 0 0 0 0
"MRPL20" 0 1 0 0 0 0 0 0
"RN7SL657P" 0 1 0 0 0 0 0 0
"MRPL20-DT" 0 1 0 0 0 0 0 0
"ANKRD65" 0 1 0 0 0 0 0 0
"ANKRD65-AS1" 0 1 0 0 0 0 0 0
