GENE_ID	NS.2108.003.UDP0200_i7---UDP0200_i5.RNA_0005_5598_Sain_R1	NS.2108.003.UDP0201_i7---UDP0201_i5.RNA_0006_5598_Tumeur_R1	NS.2108.003.UDP0202_i7---UDP0202_i5.RNA_0009_5268_Sain_R1	NS.2108.003.UDP0203_i7---UDP0203_i5.RNA_0010_5268_Tumeur_R1	NS.2108.003.UDP0204_i7---UDP0204_i5.RNA_0011_5402_Sain_R1	NS.2108.003.UDP0205_i7---UDP0205_i5.RNA_0012_5402_Tumeur_R1	NS.2108.003.UDP0206_i7---UDP0206_i5.RNA_0017_5487_Sain_R1	NS.2108.003.UDP0207_i7---UDP0207_i5.RNA_0018_5487_Tumeur_R1
ENSG00000000003.15	1563	4741	3875	4809	1985	1484	1502	2747
ENSG00000000005.6	1	1	5	3	3	0	1	0
ENSG00000000419.14	2058	1838	2128	2564	2107	1593	2057	1921
ENSG00000000457.14	1223	3879	1960	2308	2170	1517	1010	1984
ENSG00000000460.17	504	1398	735	1527	830	612	340	953
ENSG00000000938.13	8968	708	6047	1510	10216	6866	7627	1172
ENSG00000000971.17	4449	6149	11066	5047	14902	5161	4420	6401
ENSG00000001036.14	3559	9598	4057	3335	5004	2487	2905	3197
ENSG00000001084.13	1117	9451	3221	5237	3146	3401	934	3407
ENSG00000001167.15	3160	2856	2325	6630	3279	3463	2216	2739
ENSG00000001460.18	616	893	1612	808	936	970	703	459
ENSG00000001461.17	3868	5002	4734	3083	5196	3174	2529	1993
ENSG00000001497.18	2294	3056	3362	4116	3264	2195	1808	2592
ENSG00000001561.7	4222	2300	4975	2619	5562	3943	3176	3775
ENSG00000001617.12	4021	4105	7477	2059	3913	3329	3772	3426
ENSG00000001626.18	3300	4553	2288	510	1649	1106	1974	3540
ENSG00000001629.10	3151	3915	3509	3936	4741	3410	2270	5090
ENSG00000001630.18	12693	5030	8387	2621	10192	7125	8546	2520
ENSG00000001631.17	2781	3160	3755	2294	3859	2879	2064	3455
ENSG00000002016.18	977	1918	1900	1301	2257	1637	599	1858
ENSG00000002079.14	34	31	33	133	17	16	8	20
ENSG00000002330.14	2351	4446	2869	3015	2538	1694	2276	1309
ENSG00000002549.13	9530	4754	10326	6457	13336	7479	8538	3295
ENSG00000002586.20	0	0	0	1	0	0	0	2
ENSG00000002586.20_PAR_Y	0	0	3	1	0	0	0	0
ENSG00000002587.10	329	319	973	1061	519	652	256	973
ENSG00000002726.21	24	12015	104	125	77	203	29	134
ENSG00000002745.13	11	22	65	85	35	24	19	6
ENSG00000002746.15	0	25	44	30	40	24	3	272
ENSG00000002822.16	1717	2512	1904	2921	1839	1254	1115	1531
ENSG00000002834.18	15381	18039	21467	29164	22925	14642	13439	13571
ENSG00000002919.15	1650	1929	1461	1370	1722	1203	1256	953
ENSG00000002933.9	1813	18598	2348	2044	5002	2280	1925	1456
ENSG00000003056.8	6661	6302	8021	5287	10079	5417	4716	5385
ENSG00000003096.15	78	28	693	124	410	84	84	427
ENSG00000003137.9	337	253	1279	122	493	367	317	299
ENSG00000003147.19	2247	5715	1504	2167	1408	1967	1285	3916
ENSG00000003249.15	347	3379	485	2686	491	630	561	449
ENSG00000003393.16	2098	2865	3011	2264	3463	2586	1686	2292
ENSG00000003400.16	5217	1461	5129	3103	5163	3637	4412	3220
ENSG00000003402.21	57765	16853	35385	15523	54191	51265	38285	14640
ENSG00000003436.16	17825	15603	18083	7303	16065	15712	16319	3620
ENSG00000003509.16	1037	1654	1245	833	1312	1139	786	1095
ENSG00000003756.17	15403	20644	13651	6585	15753	14227	8729	7514
ENSG00000003987.14	1011	1440	747	391	761	596	559	1050
ENSG00000003989.18	12844	66427	3183	1066	1929	3277	3720	2316
ENSG00000004059.11	5613	9300	5893	5953	5843	4146	5507	3966
ENSG00000004139.14	2418	4015	4959	3664	5710	2634	2069	4212
ENSG00000004142.12	5508	8777	5198	9438	5266	4070	4501	5040
ENSG00000004399.13	19051	42423	34693	19624	30387	19811	16312	11441
ENSG00000004455.18	7503	19838	8377	19450	8942	8638	6001	9573
ENSG00000004468.13	2942	2950	1798	961	4457	6274	3551	686
ENSG00000004478.8	3274	7437	3351	7177	3686	5863	2842	4163
ENSG00000004487.18	3498	6825	5321	5897	5513	4750	2834	4643
ENSG00000004534.15	15120	22380	14933	9142	17664	13642	7817	8278
ENSG00000004660.15	971	4623	1697	1590	1474	1043	547	1674
ENSG00000004700.16	3086	2010	3957	3027	5378	2976	2410	2637
ENSG00000004766.17	1620	1765	2146	1172	2129	1441	1055	1976
ENSG00000004776.13	4196	741	6565	878	5918	3748	3389	2476
ENSG00000004777.19	1338	2600	3889	1508	3398	1705	1006	2100
ENSG00000004779.10	2332	4019	2358	2032	2092	1867	1958	2044
ENSG00000004799.8	9485	2008	9378	919	32632	20371	16962	1981
ENSG00000004809.14	82	8	12	5	63	16	0	12
ENSG00000004838.14	959	2612	5386	987	1110	584	385	163
ENSG00000004846.17	0	6	5	0	18	14	18	5
ENSG00000004848.8	19	4	294	3347	77	23	8	251
ENSG00000004864.14	1566	2525	2029	2051	1847	1333	1060	2586
ENSG00000004866.22	4079	2955	3422	1630	3649	2415	3782	2532
ENSG00000004897.12	3998	3860	4278	5687	5280	4166	3449	3833
ENSG00000004939.16	102	3	121	6	22	24	77	7
ENSG00000004948.16	13	7	30	6	32	5	17	17
ENSG00000004961.15	1217	1346	1142	964	1173	984	846	768
ENSG00000004975.12	1924	3758	3668	2827	3697	2264	1667	3617
ENSG00000005001.10	2816	2993	1621	964	826	1337	2012	2640
ENSG00000005007.14	12092	9506	12732	8768	13524	12242	8043	12014
ENSG00000005020.13	4020	1682	6272	3366	7325	5552	3251	3770
ENSG00000005022.6	11746	15117	10885	19862	13065	9099	10446	13818
ENSG00000005059.16	852	434	1234	1650	1845	644	976	747
ENSG00000005073.6	0	0	4	0	2	0	0	4
ENSG00000005075.16	1450	3154	1432	1840	1438	1086	1318	994
ENSG00000005100.13	1568	2707	1998	2496	2260	2165	1196	2356
ENSG00000005102.14	24	123	356	85	166	14	97	115
ENSG00000005108.17	582	250	840	333	788	772	556	378
ENSG00000005156.12	3515	3254	2785	5224	3568	3051	2943	6171
ENSG00000005175.10	1183	2050	1594	2508	1780	1609	952	1944
ENSG00000005187.12	833	1041	1000	2066	976	619	511	2253
ENSG00000005189.20	124	167	271	542	187	104	109	237
ENSG00000005194.15	2216	3470	2094	2940	2046	1920	1608	1232
ENSG00000005206.17	6255	8191	8998	5197	7602	4921	4264	14794
ENSG00000005238.20	4369	5392	3704	3911	3074	2748	2432	1908
ENSG00000005243.10	755	282	1027	405	829	559	1003	769
ENSG00000005249.14	1670	5653	2376	611	2395	2587	1161	537
ENSG00000005302.19	2965	3620	3492	2070	4379	2780	2196	3009
ENSG00000005339.15	8414	11377	13341	6263	15719	10908	7655	10548
ENSG00000005379.17	3612	3025	8721	3026	6264	3643	3074	5282
ENSG00000005381.9	42	18	90	20	75	52	56	20
ENSG00000005421.9	116	53	61	49	51	89	38	187
ENSG00000005436.14	1186	1846	1546	1120	1770	1703	1088	976
ENSG00000005448.17	499	864	2304	515	1069	543	567	489
ENSG00000005469.12	909	1341	1493	384	1411	793	610	954
ENSG00000005471.19	27	647	54	80	55	42	39	57
ENSG00000005483.23	9943	6704	10313	7915	13649	10435	9748	6517
ENSG00000005486.17	9758	10173	9846	3902	7711	5033	6746	4486
ENSG00000005513.10	70	65	85	51	86	67	76	103
ENSG00000005700.15	3420	4880	3612	5248	4103	3329	2734	4685
ENSG00000005801.18	2077	3706	1765	2173	2419	2578	1091	1957
ENSG00000005810.20	3826	3365	4664	3019	5921	3832	3029	2317
ENSG00000005812.11	4416	3472	6705	2684	7325	4889	3977	2545
ENSG00000005844.19	5548	631	10129	3167	14741	5216	6101	1641
ENSG00000005882.12	2210	2967	4180	2452	3061	2109	1783	2269
ENSG00000005884.18	34860	76810	41663	49843	35696	31119	32720	28712
ENSG00000005889.16	3700	4182	4190	4120	3601	2915	1716	2409
ENSG00000005893.17	11300	12873	12941	14092	17003	9730	9032	9268
ENSG00000005961.19	579	56	1736	108	381	983	378	279
ENSG00000005981.13	84	34	86	15	69	68	24	41
ENSG00000006007.12	6212	10308	6408	7674	7947	4595	4238	8654
ENSG00000006015.18	2307	3159	2573	1781	3247	2030	1922	1882
ENSG00000006016.12	109	4263	921	209	394	1888	49	1934
ENSG00000006025.12	1708	7106	2787	3484	3307	1523	1053	3669
ENSG00000006042.12	3465	6913	4737	1526	4347	3187	3964	6740
ENSG00000006047.13	37	34	48	36	28	51	23	98
