"ID" "chr" "start" "end" "state" "median" "event_scale" "size" "num.marks" "arm.size.perc" "states2"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10p" 46888 15021863 "3" 0.1425 "large_scale" 14974975 143 0.376255653266332 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10p" 15032227 22332987 "4" 0.38125 "focal" 7300760 53 0.183436180904523 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10p" 22345445 38452153 "3" 0.050625 "large_scale" 16106708 118 0.404691155778894 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10q" 42254072 59364075 "3" 0.095 "focal" 17110003 167 0.182026300678757 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10q" 59650764 68700794 "4" 0.515625 "" 9050030 50 0.0962795554116367 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10q" 68721012 72235860 "3" 0.0175 "" 3514848 56 0.0373930255236149 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10q" 72220752 75401764 "2" -0.52125 "" 3181012 82 0.0338414813121151 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10q" 75401519 80533124 "3" 0.015 "" 5131605 56 0.0545930397963468 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10q" 80529592 87841361 "4" 0.30125 "" 7311769 53 0.0777869099431259 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10q" 87817928 122879641 "3" -0.0325 "large_scale" 35061713 395 0.373007176728741 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10q" 122879681 129036757 "2" -0.36375 "" 6157076 55 0.065502604954421 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "10q" 129467190 133642894 "3" -0.0425 "" 4175704 59 0.0444236013196192 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11p" 127204 2849105 "3" -0.13125 "" 2721901 115 0.0509719288389513 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11p" 2597308 8169055 "4" 0.375 "focal" 5571747 118 0.104339831460674 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11p" 8224309 49434438 "3" 0.1325 "large_scale" 41210129 328 0.771725262172285 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 55883297 57424059 "3" 0.14625 "" 1540762 14 0.0188618645535373 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 57406954 59615774 "4" 0.31375 "" 2208820 48 0.0270401682175081 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 59636716 62574086 "3" -0.02 "" 2937370 89 0.0359590092977526 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 62559603 62792771 "2" -0.4175 "" 233168 33 0.0028544208866906 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 62806860 66519720 "3" -0.0925 "" 3712860 189 0.0454524854755287 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 66520637 68213852 "2" -0.42375 "" 1693215 78 0.0207281799460382 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 68261338 115340262 "3" -0.063125 "large_scale" 47078924 492 0.576335792169249 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 115734848 118603033 "4" 0.3 "" 2868185 54 0.0351120529870852 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 118593988 120489937 "3" 0.21625 "" 1895949 58 0.0232100306461442 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 120511746 124266224 "4" 0.39 "" 3754478 25 0.0459619691459392 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 124622836 134067936 "3" 0.11375 "focal" 9445100 92 0.115626032375289 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "11q" 134035832 134573056 "2" -0.47 "" 537224 14 0.00657664605105105 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12p" 12310 6377730 "3" -0.176875 "focal" 6365420 104 0.179307605633803 "neut"
