target_id	length	eff_length	est_counts	tpm
ENST00000673477.1	4098	4099	0	0
ENSG00000160072:ENST00000673477.1	1947	1948	0	0
ENSG00000160072:ENST00000673477.1_1	325	326	0	0
ENSG00000160072:ENST00000673477.1_2	77	78	0	0
ENSG00000160072:ENST00000673477.1_3	102	103	0	0
ENSG00000160072:ENST00000673477.1_4	60	61	0	0
ENSG00000160072:ENST00000673477.1_5	70	71	0	0
ENSG00000160072:ENST00000673477.1_6	166	167	0	0
ENSG00000160072:ENST00000673477.1_7	70	71	0	0
ENSG00000160072:ENST00000673477.1_8	156	157	0	0
ENSG00000160072:ENST00000673477.1_9	57	58	0	0
ENSG00000160072:ENST00000673477.1_10	126	127	0	0
ENSG00000160072:ENST00000673477.1_11	125	126	0	0
ENSG00000160072:ENST00000673477.1_12	52	53	0	0
ENSG00000160072:ENST00000673477.1_13	71	72	0	0
ENSG00000160072:ENST00000673477.1_14	168	169	0	0
ENSG00000160072:ENST00000673477.1_15	109	110	0	0
ENSG00000160072:ENST00000673477.1_16	2364	2365	0.00823465	4.83136
ENSG00000160072:ENST00000673477.1_17	5184	5185	1273.95	340925
ENSG00000160072:ENST00000673477.1_18	1293	1294	66	70772.6
ENSG00000160072:ENST00000673477.1_19	303	304	0	0
ENSG00000160072:ENST00000673477.1_20	1758	1759	0	0
ENSG00000160072:ENST00000673477.1_21	1201	1202	19	21933.3
ENSG00000160072:ENST00000673477.1_22	241	242	0	0
ENSG00000160072:ENST00000673477.1_23	2401	2402	53	30616.7
ENSG00000160072:ENST00000673477.1_24	610	611	0	0
ENSG00000160072:ENST00000673477.1_25	271	272	0	0
ENSG00000160072:ENST00000673477.1_26	308	309	0	0
ENSG00000160072:ENST00000673477.1_27	1194	1195	116.759	135574
ENSG00000160072:ENST00000673477.1_28	1289	1290	183	196842
ENSG00000160072:ENST00000673477.1_29	982	983	0	0
ENSG00000160072:ENST00000673477.1_30	138	139	0	0
ENSG00000160072:ENST00000673477.1_31	4813	4814	500.987	144403
ENSG00000160072:ENST00000673477.1_32	648	649	0	0
ENSG00000160072:ENST00000673477.1_33	2031	2032	86.2977	58929.2
ENSG00000160072:ENST00000673477.1_34	120	121	0	0
ENST00000472194.6	4314	4315	0	0
