GENE_ID	NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1	NS.2108.003.UDP0201_i7...UDP0201_i5.RNA_0006_5598_Tumeur_R1	NS.2108.003.UDP0202_i7...UDP0202_i5.RNA_0009_5268_Sain_R1	NS.2108.003.UDP0203_i7...UDP0203_i5.RNA_0010_5268_Tumeur_R1	NS.2108.003.UDP0204_i7...UDP0204_i5.RNA_0011_5402_Sain_R1	NS.2108.003.UDP0205_i7...UDP0205_i5.RNA_0012_5402_Tumeur_R1	NS.2108.003.UDP0206_i7...UDP0206_i5.RNA_0017_5487_Sain_R1	NS.2108.003.UDP0207_i7...UDP0207_i5.RNA_0018_5487_Tumeur_R1
ENSG00000000003	1563	4741	3875	4809	1985	1484	1502	2747
ENSG00000000005	1	1	5	3	3	0	1	0
ENSG00000000419	2058	1838	2128	2564	2107	1593	2057	1921
ENSG00000000457	1223	3879	1960	2308	2170	1517	1010	1984
ENSG00000000460	504	1398	735	1527	830	612	340	953
ENSG00000000938	8968	708	6047	1510	10216	6866	7627	1172
ENSG00000000971	4449	6149	11066	5047	14902	5161	4420	6401
ENSG00000001036	3559	9598	4057	3335	5004	2487	2905	3197
ENSG00000001084	1117	9451	3221	5237	3146	3401	934	3407
ENSG00000001167	3160	2856	2325	6630	3279	3463	2216	2739
ENSG00000001460	616	893	1612	808	936	970	703	459
ENSG00000001461	3868	5002	4734	3083	5196	3174	2529	1993
ENSG00000001497	2294	3056	3362	4116	3264	2195	1808	2592
ENSG00000001561	4222	2300	4975	2619	5562	3943	3176	3775
ENSG00000001617	4021	4105	7477	2059	3913	3329	3772	3426
ENSG00000001626	3300	4553	2288	510	1649	1106	1974	3540
ENSG00000001629	3151	3915	3509	3936	4741	3410	2270	5090
ENSG00000001630	12693	5030	8387	2621	10192	7125	8546	2520
ENSG00000001631	2781	3160	3755	2294	3859	2879	2064	3455
ENSG00000002016	977	1918	1900	1301	2257	1637	599	1858
ENSG00000002079	34	31	33	133	17	16	8	20
ENSG00000002330	2351	4446	2869	3015	2538	1694	2276	1309
ENSG00000002549	9530	4754	10326	6457	13336	7479	8538	3295
ENSG00000002586	0	0	0	1	0	0	0	2
ENSG00000002586	0	0	3	1	0	0	0	0
ENSG00000002587	329	319	973	1061	519	652	256	973
ENSG00000002726	24	12015	104	125	77	203	29	134
ENSG00000002745	11	22	65	85	35	24	19	6
ENSG00000002746	0	25	44	30	40	24	3	272
ENSG00000002822	1717	2512	1904	2921	1839	1254	1115	1531
ENSG00000002834	15381	18039	21467	29164	22925	14642	13439	13571
ENSG00000002919	1650	1929	1461	1370	1722	1203	1256	953
ENSG00000002933	1813	18598	2348	2044	5002	2280	1925	1456
ENSG00000003056	6661	6302	8021	5287	10079	5417	4716	5385
ENSG00000003096	78	28	693	124	410	84	84	427
ENSG00000003137	337	253	1279	122	493	367	317	299
ENSG00000003147	2247	5715	1504	2167	1408	1967	1285	3916
ENSG00000003249	347	3379	485	2686	491	630	561	449
ENSG00000003393	2098	2865	3011	2264	3463	2586	1686	2292
ENSG00000003400	5217	1461	5129	3103	5163	3637	4412	3220
ENSG00000003402	57765	16853	35385	15523	54191	51265	38285	14640
ENSG00000003436	17825	15603	18083	7303	16065	15712	16319	3620
ENSG00000003509	1037	1654	1245	833	1312	1139	786	1095
ENSG00000003756	15403	20644	13651	6585	15753	14227	8729	7514
ENSG00000003987	1011	1440	747	391	761	596	559	1050
ENSG00000003989	12844	66427	3183	1066	1929	3277	3720	2316
ENSG00000004059	5613	9300	5893	5953	5843	4146	5507	3966
ENSG00000004139	2418	4015	4959	3664	5710	2634	2069	4212
ENSG00000004142	5508	8777	5198	9438	5266	4070	4501	5040
ENSG00000004399	19051	42423	34693	19624	30387	19811	16312	11441
ENSG00000004455	7503	19838	8377	19450	8942	8638	6001	9573
ENSG00000004468	2942	2950	1798	961	4457	6274	3551	686
ENSG00000004478	3274	7437	3351	7177	3686	5863	2842	4163
ENSG00000004487	3498	6825	5321	5897	5513	4750	2834	4643
ENSG00000004534	15120	22380	14933	9142	17664	13642	7817	8278
ENSG00000004660	971	4623	1697	1590	1474	1043	547	1674
ENSG00000004700	3086	2010	3957	3027	5378	2976	2410	2637
ENSG00000004766	1620	1765	2146	1172	2129	1441	1055	1976
ENSG00000004776	4196	741	6565	878	5918	3748	3389	2476
ENSG00000004777	1338	2600	3889	1508	3398	1705	1006	2100
ENSG00000004779	2332	4019	2358	2032	2092	1867	1958	2044
ENSG00000004799	9485	2008	9378	919	32632	20371	16962	1981
ENSG00000004809	82	8	12	5	63	16	0	12
ENSG00000004838	959	2612	5386	987	1110	584	385	163
ENSG00000004846	0	6	5	0	18	14	18	5
ENSG00000004848	19	4	294	3347	77	23	8	251
ENSG00000004864	1566	2525	2029	2051	1847	1333	1060	2586
ENSG00000004866	4079	2955	3422	1630	3649	2415	3782	2532
ENSG00000004897	3998	3860	4278	5687	5280	4166	3449	3833
ENSG00000004939	102	3	121	6	22	24	77	7
ENSG00000004948	13	7	30	6	32	5	17	17
ENSG00000004961	1217	1346	1142	964	1173	984	846	768
ENSG00000004975	1924	3758	3668	2827	3697	2264	1667	3617
ENSG00000005001	2816	2993	1621	964	826	1337	2012	2640
ENSG00000005007	12092	9506	12732	8768	13524	12242	8043	12014
ENSG00000005020	4020	1682	6272	3366	7325	5552	3251	3770
ENSG00000005022	11746	15117	10885	19862	13065	9099	10446	13818
ENSG00000005059	852	434	1234	1650	1845	644	976	747
ENSG00000005073	0	0	4	0	2	0	0	4
ENSG00000005075	1450	3154	1432	1840	1438	1086	1318	994
ENSG00000005100	1568	2707	1998	2496	2260	2165	1196	2356
ENSG00000005102	24	123	356	85	166	14	97	115
ENSG00000005108	582	250	840	333	788	772	556	378
ENSG00000005156	3515	3254	2785	5224	3568	3051	2943	6171
ENSG00000005175	1183	2050	1594	2508	1780	1609	952	1944
ENSG00000005187	833	1041	1000	2066	976	619	511	2253
ENSG00000005189	124	167	271	542	187	104	109	237
ENSG00000005194	2216	3470	2094	2940	2046	1920	1608	1232
ENSG00000005206	6255	8191	8998	5197	7602	4921	4264	14794
ENSG00000005238	4369	5392	3704	3911	3074	2748	2432	1908
ENSG00000005243	755	282	1027	405	829	559	1003	769
ENSG00000005249	1670	5653	2376	611	2395	2587	1161	537
ENSG00000005302	2965	3620	3492	2070	4379	2780	2196	3009
ENSG00000005339	8414	11377	13341	6263	15719	10908	7655	10548
ENSG00000005379	3612	3025	8721	3026	6264	3643	3074	5282
ENSG00000005381	42	18	90	20	75	52	56	20
ENSG00000005421	116	53	61	49	51	89	38	187
ENSG00000005436	1186	1846	1546	1120	1770	1703	1088	976
ENSG00000005448	499	864	2304	515	1069	543	567	489
ENSG00000005469	909	1341	1493	384	1411	793	610	954
ENSG00000005471	27	647	54	80	55	42	39	57
ENSG00000005483	9943	6704	10313	7915	13649	10435	9748	6517
ENSG00000005486	9758	10173	9846	3902	7711	5033	6746	4486
ENSG00000005513	70	65	85	51	86	67	76	103
ENSG00000005700	3420	4880	3612	5248	4103	3329	2734	4685
ENSG00000005801	2077	3706	1765	2173	2419	2578	1091	1957
ENSG00000005810	3826	3365	4664	3019	5921	3832	3029	2317
ENSG00000005812	4416	3472	6705	2684	7325	4889	3977	2545
ENSG00000005844	5548	631	10129	3167	14741	5216	6101	1641
ENSG00000005882	2210	2967	4180	2452	3061	2109	1783	2269
ENSG00000005884	34860	76810	41663	49843	35696	31119	32720	28712
ENSG00000005889	3700	4182	4190	4120	3601	2915	1716	2409
ENSG00000005893	11300	12873	12941	14092	17003	9730	9032	9268
ENSG00000005961	579	56	1736	108	381	983	378	279
ENSG00000005981	84	34	86	15	69	68	24	41
ENSG00000006007	6212	10308	6408	7674	7947	4595	4238	8654
ENSG00000006015	2307	3159	2573	1781	3247	2030	1922	1882
ENSG00000006016	109	4263	921	209	394	1888	49	1934
ENSG00000006025	1708	7106	2787	3484	3307	1523	1053	3669
ENSG00000006042	3465	6913	4737	1526	4347	3187	3964	6740
ENSG00000006047	37	34	48	36	28	51	23	98
ENSG00000006059	0	0	0	0	0	1	0	0
ENSG00000006062	5638	1816	3339	1817	4001	4717	6931	3684
ENSG00000006071	70	27	389	28	122	158	372	105
ENSG00000006116	0	1	0	1	0	0	0	0
ENSG00000006118	1052	926	1728	1961	1542	1655	854	4608
ENSG00000006125	15392	14806	18755	22904	20547	15249	10204	12648
ENSG00000006128	15	11	1	0	28	5	90	0
ENSG00000006194	3235	4856	3318	2544	3802	2844	3150	3803
ENSG00000006210	19237	1130	13843	7471	10893	13392	24017	2494
ENSG00000006282	3678	14680	4815	8814	6553	4457	1663	5688
ENSG00000006283	30	400	137	121	121	82	132	538
ENSG00000006327	14556	7389	1819	6707	2021	9605	15590	4235
ENSG00000006377	0	0	0	0	0	0	0	0
ENSG00000006432	1841	4072	990	2234	1646	2157	1080	3376
ENSG00000006451	8158	3390	9509	3951	6867	8245	6498	3312
ENSG00000006453	5849	8323	5780	6217	4379	5953	4911	7447
ENSG00000006459	4081	3932	3885	3504	3852	4055	3178	2133
ENSG00000006468	4852	3497	6347	1025	8401	4212	3487	2834
ENSG00000006530	2242	3865	3754	2150	3854	2178	1732	2006
ENSG00000006534	10375	11046	21055	14413	12173	9862	9923	12156
ENSG00000006555	654	2229	1317	1594	1008	968	633	1098
ENSG00000006576	2053	1860	2194	1859	2867	1473	1420	2601
ENSG00000006606	2	3	16	47	29	23	6	0
ENSG00000006607	1536	1025	2606	1485	2699	1717	1392	2187
ENSG00000006611	9	2	117	32	13	12	25	15
ENSG00000006625	1268	2747	1479	2397	1787	3514	1303	4019
ENSG00000006634	329	452	578	973	599	385	401	437
ENSG00000006638	415	174	931	360	555	634	284	170
ENSG00000006652	6086	3684	3237	2868	3360	4025	6673	2834
ENSG00000006659	0	0	0	0	1	1	0	0
ENSG00000006695	596	1221	887	1053	1077	745	497	780
ENSG00000006704	2280	4021	1937	2602	1605	1578	1691	4573
ENSG00000006712	4712	7474	3774	2756	3551	3801	3528	12015
ENSG00000006715	4588	4831	5064	3411	5429	4513	2798	5106
ENSG00000006740	6348	2354	6771	584	6226	3864	4994	5765
ENSG00000006744	3165	6689	4664	4472	4807	3334	2169	3264
ENSG00000006747	860	4785	1568	1465	1161	926	571	8636
ENSG00000006756	6122	26545	8949	22127	5835	4660	3212	3764
ENSG00000006757	1005	1747	1469	1218	697	455	602	567
ENSG00000006788	2	12	18	9	31	4	14	13
ENSG00000006831	10950	5769	7445	3868	10539	9790	7778	3279
ENSG00000006837	173	339	238	97	203	207	162	148
ENSG00000007001	8	22	28	22	14	11	12	15
ENSG00000007038	580	104	285	766	2	2	275	43
ENSG00000007047	2277	3805	2994	2425	3025	2531	1962	1979
ENSG00000007062	140	21	4694	1613	466	485	39	238
ENSG00000007080	2706	3141	2732	3761	3009	2600	2428	2551
ENSG00000007129	437	60	517	168	875	255	199	72
ENSG00000007168	18527	13703	15630	9374	17313	14489	12642	8487
ENSG00000007171	115	24	360	104	317	288	194	188
ENSG00000007174	216	48	5923	1687	1021	301	108	8
ENSG00000007202	11982	23453	12892	16826	17481	11174	7999	10581
